company_symbol,Date,Open,High,Low,Close,Volume
HD,2022-07-27,298.21,300.31,291.79,298.91,3233700
HD,2022-07-28,295.0,301.24,293.17,299.63,3992100
HD,2022-07-29,300.0,301.44,297.43,300.94,3236000
HD,2022-08-01,300.64,308.45,300.01,305.82,3303900
HD,2022-08-02,305.4,305.61,300.01,300.71,3091000
HD,2022-08-03,303.35,308.07,300.34,306.37,3329400
HD,2022-08-04,304.54,309.97,304.44,307.17,2718400
HD,2022-08-05,305.38,309.78,304.5,309.69,2029100
HD,2022-08-08,311.86,315.8,310.44,311.97,2505100
HD,2022-08-09,308.89,309.96,303.31,305.21,2607000
HD,2022-08-10,309.5,312.98,309.05,311.58,3863400
HD,2022-08-11,313.84,314.62,309.58,310.69,2444100
HD,2022-08-12,312.61,314.93,310.18,314.89,2273800
HD,2022-08-15,312.04,315.76,310.15,314.61,3917300
HD,2022-08-16,312.98,332.98,312.88,327.38,10089800
HD,2022-08-17,328.09,329.5,324.07,325.76,3162600
HD,2022-08-18,324.96,327.94,322.22,325.21,2899600
HD,2022-08-19,324.97,326.32,319.77,321.32,3489100
HD,2022-08-22,318.09,319.74,311.71,312.21,3144200
HD,2022-08-23,311.21,311.52,305.64,306.9,3317500
HD,2022-08-24,305.05,309.98,303.55,308.11,2495600
HD,2022-08-25,308.64,309.96,305.83,309.78,2529700
HD,2022-08-26,310.3,311.51,298.02,298.1,3315500
HD,2022-08-29,296.57,299.71,294.29,296.32,2711800
HD,2022-08-30,298.56,299.9,291.67,293.1,2892400
HD,2022-08-31,292.01,292.47,288.28,288.42,4376200
HD,2022-09-01,288.4,293.58,286.72,293.37,3742500
HD,2022-09-02,296.11,296.8,290.12,291.9,2753600
HD,2022-09-06,293.22,294.5,287.26,289.54,4110000
HD,2022-09-07,290.44,297.7,290.3,297.47,3016000
HD,2022-09-08,296.0,300.19,294.54,299.9,2703200
HD,2022-09-09,299.48,302.49,298.33,299.77,2769200
HD,2022-09-12,300.8,302.83,296.35,297.54,3632900
HD,2022-09-13,292.01,294.08,277.32,277.93,4797200
HD,2022-09-14,279.4,279.54,273.17,276.34,4194400
